"","no rank","superkingdom","phylum","class","order","family","genus","species","subphylum","name_id"
"381","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halostella","Halostella sp. DL-M4",NA,"Halostella sp. DL-M4|2583824"
"382","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sp. IOH1",NA,"Thermococcus sp. IOH1|2586643"
"383","cellular organisms","Archaea",NA,NA,NA,NA,NA,"anaerobic archaeon MK-D1",NA,"anaerobic archaeon MK-D1|2594042"
"384","cellular organisms","Archaea","Euryarchaeota","Thermococci","Thermococcales","Thermococcaceae","Thermococcus","Thermococcus sp. SY113",NA,"Thermococcus sp. SY113|2598455"
"385","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Salarchaeum","Salarchaeum sp. JOR-1",NA,"Salarchaeum sp. JOR-1|2599399"
"386","cellular organisms","Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanothermobacter","Methanothermobacter sp. KEPCO1",NA,"Methanothermobacter sp. KEPCO1|2603820"
"387","cellular organisms","Archaea","Euryarchaeota","Methanococci","Methanococcales",NA,"Methanofervidicoccus","Methanofervidicoccus sp. A16",NA,"Methanofervidicoccus sp. A16|2607662"
"388","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Haloarculaceae","Halomicrobium","Halomicrobium sp. LC1Hm",NA,"Halomicrobium sp. LC1Hm|2610902"
"389","cellular organisms","Archaea","Euryarchaeota","Halobacteria","Halobacteriales","Halobacteriaceae","Halorussus","Halorussus sp. ZS-3",NA,"Halorussus sp. ZS-3|2650975"
"390","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus sp. E5-1-F",NA,"Sulfolobus sp. E5-1-F|2663019"
"391","cellular organisms","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus","Sulfolobus sp. E11-6",NA,"Sulfolobus sp. E11-6|2663020"
